0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:05:06 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:05:08 +0900] "GET /yist/ HTTP/1.1" 200 2201
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:05:08 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:05:11 +0900] "GET /yist/resources/css/instructor/style.css.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:05:11 +0900] "GET /yist/resources/css/instructor/style.css.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:05:11 +0900] "GET /yist/resources/css/instructor/style.css.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:09:06 +0900] "GET /yist HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:09:06 +0900] "GET /yist/ HTTP/1.1" 200 2230
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:09:06 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:09:08 +0900] "GET /yist/ HTTP/1.1" 200 2230
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:09:08 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:09:08 +0900] "GET /yist/ HTTP/1.1" 200 2230
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:09:08 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:09:55 +0900] "GET /yist/ HTTP/1.1" 200 2228
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:09:55 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:15:10:02 +0900] "GET /yist/ HTTP/1.1" 200 2252
